"x","y","fips"
1970385.916115,-703915.04290567,"37083"
940971.33497397,-1436585.98587539,"28077"
1638128.11551644,-1247191.56047285,"13209"
1571158.74253031,-1201034.68084415,"13319"
281210.8443576,-284582.54833219,"31043"
1753993.29676437,-165145.36548653,"42047"
-746285.37124828,-621815.4165705,"08077"
-1238500.2215499,426135.70234931,"16055"
408623.50489044,-461617.82803988,"19145"
268115.24086076,170319.48803393,"27167"
2149008.37717563,-71566.9518173,"36119"
1371975.78978957,-972622.44775997,"47011"
-24580.11804765,-968854.39966023,"48295"
1587819.83654687,-1458213.56742766,"12079"
1511328.98037323,-1149294.55067908,"13159"
1005590.25907553,-538244.2733029,"17029"
968209.48629998,-491797.38848859,"17147"
155050.20438557,-660129.04693073,"20105"
1139535.0299219,28147.23285432,"26165"
384986.77513448,239511.8645555,"27057"
1044674.7577782,-1509613.00774122,"28131"
45146.32059843,-342957.02185677,"31115"
1347132.07580812,-122384.48160562,"26125"
1308440.1867448,-920808.18975837,"47175"
13716.68205251,-1563936.81177803,"48327"
595648.56131435,-1629618.07322344,"48361"
1539051.4417425,-564049.64581669,"54011"
-184518.54922479,-1406540.44501722,"48317"
-249611.53721992,-1404884.86404032,"48003"
588033.07894896,-226229.79546788,"19023"
1360810.84709517,-945863.7021606,"47121"
424265.58409952,-316225.04786043,"19027"
1385166.67639111,-607513.76962201,"21181"
1252952.3414723,-723789.52921558,"21123"
1356023.20385129,-272544.14698407,"39173"
-254613.10471064,-304214.02264566,"31013"
350381.91684082,-503384.94252329,"31127"
1289970.59530535,-531621.2935266,"18029"
-233864.73686302,-965215.03391921,"48111"
1960639.28041019,-97872.18869579,"42131"
800077.33060089,-739599.81312727,"29221"
434317.4196476,-237767.69692541,"19151"
512130.01399451,-88915.76780384,"27161"
1389947.93770397,-936938.84188808,"47107"
1048979.67961598,-774798.98238377,"21055"
597587.35816592,-415481.64550954,"19135"
1344299.40238358,-831568.06357072,"47049"
355192.61492491,-203614.28257919,"19141"
-88016.84630431,236388.75138191,"38065"
-1024849.39465369,-234501.23899958,"16071"
-1330951.38924416,33277.09408162,"16075"
631024.66280611,-1407334.0667892,"22081"
-1197826.34603702,-190914.11900575,"16083"
1997863.03609204,-789995.45081314,"37079"
1937739.0601444,-804151.40599118,"37101"
444572.44850396,-427141.60517491,"19003"
1756124.57946827,-382924.33733723,"24023"
-125644.48013709,-78560.40638076,"46055"
956662.95841514,-1074134.8617575,"28093"
1406225.64076867,-785214.40570621,"21235"
1066753.78199,-406143.87498908,"18007"
197595.83626119,-908812.83913208,"40053"
-1242311.76153472,374420.88750522,"16009"
1377851.89307705,-863005.61974283,"47129"
575882.91083549,-344145.00003739,"19099"
282498.81864786,-1027456.78841532,"40081"
-187636.04779573,422652.15333402,"38013"
936481.5962551,-33244.80788587,"55015"
1329034.04439267,-933886.70709793,"47007"
-618351.14698837,-1018069.8816909,"35043"
1175021.40020137,-311385.2086067,"18085"
1381226.37695938,-648580.0154674,"21049"
-208031.91901881,-1159778.27323768,"48069"
213371.93940143,-217153.88877296,"46135"
263009.60544813,-24945.13340044,"46039"
-261772.56924357,-1209571.80745476,"48017"
229476.30967962,-104704.31029898,"46079"
1783691.9126202,-149552.63339837,"42023"
1306345.61579452,-137201.59423388,"26093"
1925021.93279752,-165825.84069253,"42093"
723929.14135732,-1319071.22305279,"22111"
729438.38991801,-1255150.41325072,"05011"
-89604.19937668,-496931.82837182,"31085"
1379136.4384257,-430170.49477217,"39023"
-249481.20076954,-360964.20573801,"31123"
84027.83831574,273849.31077686,"38031"
197415.25599808,-301257.80003922,"31139"
-733110.52944572,-1390835.31596363,"35029"
-331686.47891508,-1009800.75783944,"35021"
1365888.43511231,-345797.91949791,"39065"
1806676.01224048,-117193.87368373,"42105"
1325047.44878569,-1229923.73966271,"01123"
-402375.15466324,-1265611.98339091,"35005"
509981.09310699,-882140.43974287,"29145"
1490460.48854762,-507397.33045935,"39079"
432579.77451338,124956.5303178,"27097"
765863.17073688,-883860.94378883,"29149"
1936002.07497275,-464868.19165198,"51179"
2024337.02179738,-593324.16697736,"51181"
178571.1700818,164542.94623739,"38073"
1998051.22515098,-620634.58807865,"51183"
-73935.40018656,-1065723.20491629,"48179"
-168968.97469339,-1211648.86463618,"48189"
2006713.64941567,-157231.36825713,"42025"
-281375.60050148,-142113.3475423,"46033"
222448.68536003,-32390.15020919,"46057"
1825748.34704301,-966484.44795053,"45031"
2063740.09232354,-252159.97325778,"42045"
236817.94380169,424208.2714306,"27069"
701513.11269524,-647556.74222217,"29027"
964210.82027853,-345023.47402923,"17063"
2301418.52438755,34922.72749178,"44003"
497755.91626739,-48640.45139819,"27079"
-562163.39383942,-327401.46804219,"56007"
-641349.09576836,-23200.56312206,"56003"
-441812.39964524,-75804.13842523,"56005"
1084443.78375233,-867411.97685608,"47161"
1870328.29498226,-585070.913042,"51029"
218803.36762844,-1445213.94761626,"48035"
-409279.77624357,-304902.82470032,"56031"
1799422.67065334,-988141.51698792,"45061"
1720279.00892817,-1042281.76839746,"45063"
180292.03757202,-1989170.67378038,"48047"
637435.36901195,18157.50713811,"55033"
1759131.29540848,-1027652.49791399,"45079"
579112.49660791,-121759.38809172,"27099"
1874597.01084855,-402551.70476077,"51043"
946907.45952239,-152393.62716615,"55133"
-1000764.93316465,-672016.84583632,"49055"
2008922.88273892,-527140.5426807,"51097"
301242.83802859,-140492.34561152,"27133"
-1666173.35432279,178183.05145366,"41031"
1912889.92474092,-524616.88597799,"51109"
612496.15273472,-868975.4055102,"29043"
540898.94475385,-86858.11613063,"27147"
664937.63906305,-727469.92536226,"29131"
621631.03539447,-658650.69770169,"29053"
761043.26863516,-739005.65319352,"29055"
202007.92694078,-610650.0724186,"20029"
1102347.70824175,-533932.15556358,"18021"
1411051.75349099,-857707.24029761,"47001"
10067.63042092,-811922.32253729,"20057"
1377683.42355792,-1042654.66526658,"13129"
1207325.04469333,-434290.358338,"18095"
-1647919.97814542,4628.47817221,"41037"
1741194.40348621,-268462.66651822,"42063"
1033849.38885022,-989331.80267535,"47023"
1148151.33562711,-168041.05201326,"26005"
1158737.63754014,-705144.07050755,"21091"
546575.8822594,-190696.24648228,"19033"
2020766.81157717,-765629.8352326,"37147"
623074.65071202,-186352.35790485,"19037"
1740795.56656921,-837160.28851058,"37159"
1779302.47944802,-864667.03052646,"37167"
330431.75183379,-786489.52833009,"20073"
